Sno,Province/State,Country,Last Update,Confirmed,Deaths,Recovered
1,Anhui,China,1/22/2020 12:00,1,0,0
2,Beijing,China,1/22/2020 12:00,14,0,0
3,Chongqing,China,1/22/2020 12:00,6,0,0
4,Fujian,China,1/22/2020 12:00,1,0,0
5,Gansu,China,1/22/2020 12:00,0,0,0
6,Guangdong,China,1/22/2020 12:00,26,0,0
7,Guangxi,China,1/22/2020 12:00,2,0,0
8,Guizhou,China,1/22/2020 12:00,1,0,0
9,Hainan,China,1/22/2020 12:00,4,0,0
10,Hebei,China,1/22/2020 12:00,1,0,0
11,Heilongjiang,China,1/22/2020 12:00,0,0,0
12,Henan,China,1/22/2020 12:00,5,0,0
13,Hong Kong,China,1/22/2020 12:00,0,0,0
14,Hubei,China,1/22/2020 12:00,444,0,0
15,Hunan,China,1/22/2020 12:00,4,0,0
16,Inner Mongolia,China,1/22/2020 12:00,0,0,0
17,Jiangsu,China,1/22/2020 12:00,1,0,0
18,Jiangxi,China,1/22/2020 12:00,2,0,0
19,Jilin,China,1/22/2020 12:00,0,0,0
20,Liaoning,China,1/22/2020 12:00,2,0,0
21,Macau,China,1/22/2020 12:00,1,0,0
22,Ningxia,China,1/22/2020 12:00,1,0,0
23,Qinghai,China,1/22/2020 12:00,0,0,0
24,Shaanxi,China,1/22/2020 12:00,0,0,0
25,Shandong,China,1/22/2020 12:00,2,0,0
26,Shanghai,China,1/22/2020 12:00,9,0,0
27,Shanxi,China,1/22/2020 12:00,1,0,0
28,Sichuan,China,1/22/2020 12:00,5,0,0
29,Taiwan,China,1/22/2020 12:00,1,0,0
30,Tianjin,China,1/22/2020 12:00,4,0,0
31,Tibet,China,1/22/2020 12:00,0,0,0
32,Washington,US,1/22/2020 12:00,1,0,0
33,Xinjiang,China,1/22/2020 12:00,0,0,0
34,Yunnan,China,1/22/2020 12:00,1,0,0
35,Zhejiang,China,1/22/2020 12:00,10,0,0
36,,Japan,1/22/2020 12:00,2,0,0
37,,Thailand,1/22/2020 12:00,2,0,0
38,,South Korea,1/22/2020 12:00,1,0,0
39,Anhui,Mainland China,1/23/2020 12:00,9,0,0
40,Beijing,Mainland China,1/23/2020 12:00,22,0,0
41,Chongqing,Mainland China,1/23/2020 12:00,9,0,0
42,Fujian,Mainland China,1/23/2020 12:00,5,0,0
43,Gansu,Mainland China,1/23/2020 12:00,2,0,0
44,Guangdong,Mainland China,1/23/2020 12:00,32,0,2
45,Guangxi,Mainland China,1/23/2020 12:00,5,0,0
46,Guizhou,Mainland China,1/23/2020 12:00,3,0,0
47,Hainan,Mainland China,1/23/2020 12:00,5,0,0
48,Hebei,Mainland China,1/23/2020 12:00,1,1,0
49,Heilongjiang,Mainland China,1/23/2020 12:00,2,0,0
50,Henan,Mainland China,1/23/2020 12:00,5,0,0
51,Hong Kong,Hong Kong,1/23/2020 12:00,2,0,0
52,Hubei,Mainland China,1/23/2020 12:00,444,17,28
53,Hunan,Mainland China,1/23/2020 12:00,9,0,0
54,Inner Mongolia,Mainland China,1/23/2020 12:00,0,0,0
55,Jiangsu,Mainland China,1/23/2020 12:00,5,0,0
56,Jiangxi,Mainland China,1/23/2020 12:00,7,0,0
57,Jilin,Mainland China,1/23/2020 12:00,1,0,0
58,Liaoning,Mainland China,1/23/2020 12:00,3,0,0
59,Macau,Macau,1/23/2020 12:00,2,0,0
