Last Update,Country,Province/State,Confirmed
3/19/2016,Argentina,Buenos Aires,2
3/19/2016,Argentina,Buenos Aires,1
3/19/2016,Argentina,Buenos Aires,127
3/19/2016,Argentina,CABA,9
3/19/2016,Argentina,CABA,68
3/19/2016,Argentina,CABA,1
3/19/2016,Argentina,Catamarca,14
3/19/2016,Argentina,Chaco,48
3/19/2016,Argentina,Chubut,1
3/19/2016,Argentina,Chubut,5
3/19/2016,Argentina,Cordoba,1
3/19/2016,Argentina,Cordoba,1
3/19/2016,Argentina,Cordoba,1
3/19/2016,Argentina,Cordoba,22
3/19/2016,Argentina,Corrientes,2
3/19/2016,Argentina,Corrientes,18
3/19/2016,Argentina,Entre Rios,28
3/19/2016,Argentina,Formosa,8
3/19/2016,Argentina,Jujuy,245
3/19/2016,Argentina,La Pampa,2
3/19/2016,Argentina,La Rioja,3
3/19/2016,Argentina,Mendoza,1
3/19/2016,Argentina,Mendoza,12
3/19/2016,Argentina,Misiones,6
3/19/2016,Argentina,Neuquen,16
3/19/2016,Argentina,Rio_Negro,5
3/19/2016,Argentina,Salta,61
3/19/2016,Argentina,Salta,1
3/19/2016,Argentina,San_Luis,9
3/19/2016,Argentina,Santa_Cruz,7
3/19/2016,Argentina,Santa_Fe,15
3/19/2016,Argentina,Sgo_Del_Estero,4
3/19/2016,Argentina,Tucuman,36
3/26/2016,Argentina,Buenos_Aires,2
3/26/2016,Argentina,Buenos_Aires,1
3/26/2016,Argentina,Buenos_Aires,145
3/26/2016,Argentina,CABA,9
3/26/2016,Argentina,CABA,81
3/26/2016,Argentina,CABA,2
3/26/2016,Argentina,Catamarca,15
3/26/2016,Argentina,Chaco,52
3/26/2016,Argentina,Chubut,1
3/26/2016,Argentina,Chubut,5
3/26/2016,Argentina,Cordoba,1
3/26/2016,Argentina,Cordoba,2
3/26/2016,Argentina,Cordoba,22
3/26/2016,Argentina,Corrientes,2
3/26/2016,Argentina,Corrientes,18
3/26/2016,Argentina,Entre_Rios,29
3/26/2016,Argentina,Formosa,8
3/26/2016,Argentina,Jujuy,303
3/26/2016,Argentina,La_Pampa,2
3/26/2016,Argentina,La_Rioja,3
3/26/2016,Argentina,Mendoza,1
3/26/2016,Argentina,Mendoza,12
3/26/2016,Argentina,Misiones,6
3/26/2016,Argentina,Neuquen,16
3/26/2016,Argentina,Rio_Negro,5
3/26/2016,Argentina,Salta,63
3/26/2016,Argentina,Salta,2
3/26/2016,Argentina,San_Luis,9
3/26/2016,Argentina,Santa_Cruz,9
3/26/2016,Argentina,Santa_Fe,16
3/26/2016,Argentina,Sgo_Del_Estero,6
3/26/2016,Argentina,Tucuman,36
4/2/2016,Argentina,Buenos_Aires,2
4/2/2016,Argentina,Buenos_Aires,1
4/2/2016,Argentina,Buenos_Aires,173
4/2/2016,Argentina,Buenos_Aires,14
4/2/2016,Argentina,CABA,9
4/2/2016,Argentina,CABA,83
4/2/2016,Argentina,CABA,2
4/2/2016,Argentina,Catamarca,15
4/2/2016,Argentina,Chaco,54
4/2/2016,Argentina,Chaco,1
4/2/2016,Argentina,Chubut,1
4/2/2016,Argentina,Chubut,5
4/2/2016,Argentina,Cordoba,1
4/2/2016,Argentina,Cordoba,2
4/2/2016,Argentina,Cordoba,23
4/2/2016,Argentina,Corrientes,2
4/2/2016,Argentina,Corrientes,18
4/2/2016,Argentina,Entre_Rios,30
4/2/2016,Argentina,Formosa,9
4/2/2016,Argentina,Jujuy,353
4/2/2016,Argentina,Jujuy,1
4/2/2016,Argentina,La_Pampa,2
4/2/2016,Argentina,La_Rioja,3
4/2/2016,Argentina,Mendoza,1
4/2/2016,Argentina,Mendoza,15
4/2/2016,Argentina,Misiones,6
4/2/2016,Argentina,Neuquen,19
4/2/2016,Argentina,Rio_Negro,6
4/2/2016,Argentina,Salta,68
4/2/2016,Argentina,Salta,2
4/2/2016,Argentina,San_Luis,9
4/2/2016,Argentina,Santa_Cruz,9
4/2/2016,Argentina,Santa_Fe,17
4/2/2016,Argentina,Santa_Fe,2
4/2/2016,Argentina,Sgo_Del_Estero,6
4/2/2016,Argentina,Tucuman,37
4/9/2016,Argentina,Buenos_Aires,2
4/9/2016,Argentina,Buenos_Aires,1
4/9/2016,Argentina,Buenos_Aires,178
4/9/2016,Argentina,Buenos_Aires,18
4/9/2016,Argentina,CABA,9
4/9/2016,Argentina,CABA,86
4/9/2016,Argentina,CABA,2
4/9/2016,Argentina,Catamarca,15
4/9/2016,Argentina,Chaco,57
4/9/2016,Argentina,Chaco,1
4/9/2016,Argentina,Chubut,1
4/9/2016,Argentina,Chubut,5
4/9/2016,Argentina,Cordoba,1
4/9/2016,Argentina,Cordoba,2
4/9/2016,Argentina,Cordoba,26
4/9/2016,Argentina,Corrientes,2
4/9/2016,Argentina,Corrientes,19
4/9/2016,Argentina,Entre_Rios,33
4/9/2016,Argentina,Formosa,9
4/9/2016,Argentina,Jujuy,427
4/9/2016,Argentina,Jujuy,1
4/9/2016,Argentina,La_Pampa,2
4/9/2016,Argentina,La_Rioja,3
4/9/2016,Argentina,Mendoza,1
4/9/2016,Argentina,Mendoza,15
4/9/2016,Argentina,Misiones,6
4/9/2016,Argentina,Neuquen,19
4/9/2016,Argentina,Rio_Negro,7
4/9/2016,Argentina,Salta,70
4/9/2016,Argentina,Salta,2
4/9/2016,Argentina,San_Luis,10
4/9/2016,Argentina,Santa_Cruz,9
4/9/2016,Argentina,Santa_Fe,21
4/9/2016,Argentina,Santa_Fe,2
4/9/2016,Argentina,Sgo_Del_Estero,6
4/9/2016,Argentina,Tucuman,38
4/16/2016,Argentina,Buenos_Aires,2
4/16/2016,Argentina,Buenos_Aires,1
4/16/2016,Argentina,Buenos_Aires,183
4/16/2016,Argentina,Buenos_Aires,21
4/16/2016,Argentina,CABA,9
4/16/2016,Argentina,CABA,87
4/16/2016,Argentina,CABA,2
4/16/2016,Argentina,Catamarca,15
4/16/2016,Argentina,Chaco,60
4/16/2016,Argentina,Chaco,1
4/16/2016,Argentina,Chubut,1
4/16/2016,Argentina,Chubut,5
4/16/2016,Argentina,Cordoba,1
4/16/2016,Argentina,Cordoba,2
4/16/2016,Argentina,Cordoba,30
4/16/2016,Argentina,Corrientes,2
4/16/2016,Argentina,Corrientes,19
4/16/2016,Argentina,Entre_Rios,36
4/16/2016,Argentina,Formosa,9
4/16/2016,Argentina,Jujuy,510
4/16/2016,Argentina,Jujuy,1
4/16/2016,Argentina,La_Pampa,2
4/16/2016,Argentina,La_Rioja,3
4/16/2016,Argentina,Mendoza,1
4/16/2016,Argentina,Mendoza,15
4/16/2016,Argentina,Misiones,6
4/16/2016,Argentina,Neuquen,20
4/16/2016,Argentina,Rio_Negro,8
4/16/2016,Argentina,Salta,78
4/16/2016,Argentina,Salta,2
4/16/2016,Argentina,San_Luis,10
4/16/2016,Argentina,Santa_Cruz,9
4/16/2016,Argentina,Santa_Fe,28
4/16/2016,Argentina,Santa_Fe,2
4/16/2016,Argentina,Sgo_Del_Estero,6
4/16/2016,Argentina,Tucuman,38
4/29/2016,Argentina,Buenos_Aires,2
4/29/2016,Argentina,Buenos_Aires,1
4/29/2016,Argentina,Buenos_Aires,188
4/29/2016,Argentina,Buenos_Aires,21
4/29/2016,Argentina,CABA,9
4/29/2016,Argentina,CABA,90
4/29/2016,Argentina,CABA,2
4/29/2016,Argentina,Catamarca,15
4/29/2016,Argentina,Chaco,61
4/29/2016,Argentina,Chaco,1
4/29/2016,Argentina,Chubut,1
4/29/2016,Argentina,Chubut,5
4/29/2016,Argentina,Cordoba,1
4/29/2016,Argentina,Cordoba,2
4/29/2016,Argentina,Cordoba,30
4/29/2016,Argentina,Corrientes,2
4/29/2016,Argentina,Corrientes,19
4/29/2016,Argentina,Entre_Rios,37
4/29/2016,Argentina,Formosa,9
4/29/2016,Argentina,Jujuy,597
4/29/2016,Argentina,Jujuy,1
4/29/2016,Argentina,La_Pampa,2
4/29/2016,Argentina,La_Rioja,3
4/29/2016,Argentina,Mendoza,1
4/29/2016,Argentina,Mendoza,15
4/29/2016,Argentina,Misiones,6
4/29/2016,Argentina,Neuquen,20
4/29/2016,Argentina,Rio_Negro,9
4/29/2016,Argentina,Salta,80
4/29/2016,Argentina,Salta,2
4/29/2016,Argentina,San_Juan,1
4/29/2016,Argentina,San_Luis,10
4/29/2016,Argentina,Santa_Cruz,9
4/29/2016,Argentina,Santa_Fe,29
4/29/2016,Argentina,Santa_Fe,2
4/29/2016,Argentina,Sgo_Del_Estero,6
4/29/2016,Argentina,Tucuman,38
4/29/2016,Argentina,Tucuman,1
5/7/2016,Argentina,Buenos_Aires,4
5/7/2016,Argentina,Buenos_Aires,1
5/7/2016,Argentina,Buenos_Aires,339
5/7/2016,Argentina,Buenos_Aires,38
5/7/2016,Argentina,CABA,8
5/7/2016,Argentina,CABA,245
5/7/2016,Argentina,CABA,2
5/7/2016,Argentina,Catamarca,16
5/7/2016,Argentina,Chaco,126
5/7/2016,Argentina,Chaco,7
5/7/2016,Argentina,Chubut,5
5/7/2016,Argentina,Cordoba,2
5/7/2016,Argentina,Cordoba,355
5/7/2016,Argentina,Cordoba,3
5/7/2016,Argentina,Corrientes,18
5/7/2016,Argentina,Entre_Rios,4
5/7/2016,Argentina,Entre_Rios,47
5/7/2016,Argentina,Entre_Rios,10
5/7/2016,Argentina,Formosa,6
5/7/2016,Argentina,Jujuy,9
5/7/2016,Argentina,Jujuy,12
5/7/2016,Argentina,Jujuy,1
5/7/2016,Argentina,Jujuy,886
5/7/2016,Argentina,Jujuy,11
5/7/2016,Argentina,La_Rioja,2
5/7/2016,Argentina,Mendoza,2
5/7/2016,Argentina,Mendoza,1
5/7/2016,Argentina,Mendoza,38
5/7/2016,Argentina,Mendoza,2
5/7/2016,Argentina,Misiones,9
5/7/2016,Argentina,Neuquen,2
5/7/2016,Argentina,Neuquen,13
5/7/2016,Argentina,Neuquen,4
5/7/2016,Argentina,Rio_Negro,2
5/7/2016,Argentina,Rio_Negro,6
5/7/2016,Argentina,Rio_Negro,3
5/7/2016,Argentina,Salta,91
5/7/2016,Argentina,Salta,7
5/7/2016,Argentina,Salta,32
5/7/2016,Argentina,Salta,3
5/7/2016,Argentina,Salta,248
5/7/2016,Argentina,Salta,16
5/7/2016,Argentina,San_Juan,2
5/7/2016,Argentina,San_Luis,12
5/7/2016,Argentina,San_Luis,3
5/7/2016,Argentina,Santa_Cruz,6
5/7/2016,Argentina,Santa_Fe,5
5/7/2016,Argentina,Santa_Fe,1
5/7/2016,Argentina,Santa_Fe,35
5/7/2016,Argentina,Santa_Fe,2
5/7/2016,Argentina,Sgo_Del_Estero,4
5/7/2016,Argentina,Tucuman,63
5/7/2016,Argentina,Tucuman,8
5/14/2016,Argentina,Buenos_Aires,2
5/14/2016,Argentina,Buenos_Aires,1
5/14/2016,Argentina,Buenos_Aires,203
5/14/2016,Argentina,Buenos_Aires,21
5/14/2016,Argentina,CABA,9
5/14/2016,Argentina,CABA,115
5/14/2016,Argentina,CABA,2
5/14/2016,Argentina,Catamarca,15
5/14/2016,Argentina,Chaco,68
5/14/2016,Argentina,Chaco,1
5/14/2016,Argentina,Chubut,1
5/14/2016,Argentina,Chubut,5
5/14/2016,Argentina,Cordoba,1
5/14/2016,Argentina,Cordoba,2
5/14/2016,Argentina,Cordoba,33
5/14/2016,Argentina,Corrientes,2
5/14/2016,Argentina,Corrientes,19
5/14/2016,Argentina,Entre_Rios,41
5/14/2016,Argentina,Formosa,9
5/14/2016,Argentina,Jujuy,703
5/14/2016,Argentina,Jujuy,1
5/14/2016,Argentina,La_Pampa,2
5/14/2016,Argentina,La_Rioja,3
5/14/2016,Argentina,Mendoza,1
5/14/2016,Argentina,Mendoza,16
5/14/2016,Argentina,Misiones,6
5/14/2016,Argentina,Neuquen,20
5/14/2016,Argentina,Rio_Negro,9
5/14/2016,Argentina,Salta,93
5/14/2016,Argentina,Salta,2
5/14/2016,Argentina,San_Juan,1
5/14/2016,Argentina,San_Luis,10
5/14/2016,Argentina,Santa_Cruz,9
5/14/2016,Argentina,Santa_Fe,33
5/14/2016,Argentina,Santa_Fe,2
5/14/2016,Argentina,Sgo_Del_Estero,6
5/14/2016,Argentina,Tucuman,2
5/14/2016,Argentina,Tucuman,38
5/14/2016,Argentina,Tucuman,1
5/22/2016,Argentina,Buenos_Aires,4
5/22/2016,Argentina,Buenos_Aires,1
5/22/2016,Argentina,Buenos_Aires,351
5/22/2016,Argentina,Buenos_Aires,3
5/22/2016,Argentina,CABA,8
5/22/2016,Argentina,CABA,250
5/22/2016,Argentina,CABA,2
5/22/2016,Argentina,Catamarca,16
5/22/2016,Argentina,Chaco,126
5/22/2016,Argentina,Chaco,7
5/22/2016,Argentina,Chubut,5
5/22/2016,Argentina,Cordoba,2
5/22/2016,Argentina,Cordoba,1
5/22/2016,Argentina,Cordoba,359
5/22/2016,Argentina,Cordoba,3
5/22/2016,Argentina,Corrientes,18
5/22/2016,Argentina,Entre_Rios,4
5/22/2016,Argentina,Entre_Rios,49
5/22/2016,Argentina,Entre_Rios,10
5/22/2016,Argentina,Formosa,6
5/22/2016,Argentina,Jujuy,9
5/22/2016,Argentina,Jujuy,12
5/22/2016,Argentina,Jujuy,1
5/22/2016,Argentina,Jujuy,960
5/22/2016,Argentina,Jujuy,12
5/22/2016,Argentina,La_Rioja,2
5/22/2016,Argentina,Mendoza,2
5/22/2016,Argentina,Mendoza,1
5/22/2016,Argentina,Mendoza,38
5/22/2016,Argentina,Mendoza,2
5/22/2016,Argentina,Misiones,11
5/22/2016,Argentina,Neuquen,2
5/22/2016,Argentina,Neuquen,13
5/22/2016,Argentina,Neuquen,4
5/22/2016,Argentina,Rio_Negro,2
5/22/2016,Argentina,Rio_Negro,6
5/22/2016,Argentina,Rio_Negro,3
5/22/2016,Argentina,Salta,93
5/22/2016,Argentina,Salta,7
5/22/2016,Argentina,Salta,32
5/22/2016,Argentina,Salta,3
5/22/2016,Argentina,Salta,255
5/22/2016,Argentina,Salta,17
5/22/2016,Argentina,San_Juan,2
5/22/2016,Argentina,San_Luis,12
5/22/2016,Argentina,San_Luis,3
5/22/2016,Argentina,Santa_Cruz,6
5/22/2016,Argentina,Santa_Fe,5
5/22/2016,Argentina,Santa_Fe,1
5/22/2016,Argentina,Santa_Fe,35
5/22/2016,Argentina,Santa_Fe,2
5/22/2016,Argentina,Sgo_Del_Estero,4
5/22/2016,Argentina,Tucuman,69
5/22/2016,Argentina,Tucuman,8
5/30/2016,Argentina,Buenos_Aires,2
5/30/2016,Argentina,Buenos_Aires,1
5/30/2016,Argentina,Buenos_Aires,215
5/30/2016,Argentina,Buenos_Aires,22
5/30/2016,Argentina,CABA,9
5/30/2016,Argentina,CABA,121
5/30/2016,Argentina,CABA,2
5/30/2016,Argentina,Catamarca,15
5/30/2016,Argentina,Chaco,68
5/30/2016,Argentina,Chaco,1
5/30/2016,Argentina,Chubut,1
5/30/2016,Argentina,Chubut,5
5/30/2016,Argentina,Cordoba,1
5/30/2016,Argentina,Cordoba,2
5/30/2016,Argentina,Cordoba,39
5/30/2016,Argentina,Corrientes,2
5/30/2016,Argentina,Corrientes,19
5/30/2016,Argentina,Entre_Rios,40
5/30/2016,Argentina,Entre_Rios,3
5/30/2016,Argentina,Formosa,9
5/30/2016,Argentina,Jujuy,743
5/30/2016,Argentina,Jujuy,1
5/30/2016,Argentina,La_Pampa,2
5/30/2016,Argentina,La_Rioja,3
5/30/2016,Argentina,Mendoza,1
5/30/2016,Argentina,Mendoza,18
5/30/2016,Argentina,Misiones,6
5/30/2016,Argentina,Misiones,1
5/30/2016,Argentina,Neuquen,20
5/30/2016,Argentina,Rio_Negro,9
5/30/2016,Argentina,Salta,98
5/30/2016,Argentina,Salta,2
5/30/2016,Argentina,San_Juan,1
5/30/2016,Argentina,San_Luis,10
5/30/2016,Argentina,Santa_Cruz,9
5/30/2016,Argentina,Santa_Fe,34
5/30/2016,Argentina,Santa_Fe,2
5/30/2016,Argentina,Sgo_Del_Estero,6
5/30/2016,Argentina,Tucuman,18
5/30/2016,Argentina,Tucuman,3
5/30/2016,Argentina,Tucuman,67
5/30/2016,Argentina,Tucuman,1
6/6/2016,Argentina,Buenos_Aires,2
6/6/2016,Argentina,Buenos_Aires,1
6/6/2016,Argentina,Buenos_Aires,216
6/6/2016,Argentina,Buenos_Aires,22
6/6/2016,Argentina,CABA,9
6/6/2016,Argentina,CABA,123
6/6/2016,Argentina,CABA,2
6/6/2016,Argentina,Catamarca,15
6/6/2016,Argentina,Chaco,68
6/6/2016,Argentina,Chaco,1
6/6/2016,Argentina,Chubut,1
6/6/2016,Argentina,Chubut,5
6/6/2016,Argentina,Cordoba,1
6/6/2016,Argentina,Cordoba,2
6/6/2016,Argentina,Cordoba,40
6/6/2016,Argentina,Corrientes,2
6/6/2016,Argentina,Corrientes,19
6/6/2016,Argentina,Entre_Rios,40
6/6/2016,Argentina,Entre_Rios,3
6/6/2016,Argentina,Formosa,9
6/6/2016,Argentina,Jujuy,749
6/6/2016,Argentina,Jujuy,1
6/6/2016,Argentina,La_Pampa,2
6/6/2016,Argentina,La_Rioja,3
6/6/2016,Argentina,Mendoza,1
6/6/2016,Argentina,Mendoza,18
6/6/2016,Argentina,Misiones,6
6/6/2016,Argentina,Misiones,1
6/6/2016,Argentina,Neuquen,20
6/6/2016,Argentina,Rio_Negro,9
6/6/2016,Argentina,Salta,99
6/6/2016,Argentina,Salta,2
6/6/2016,Argentina,San_Juan,1
6/6/2016,Argentina,San_Luis,12
6/6/2016,Argentina,Santa_Cruz,9
6/6/2016,Argentina,Santa_Fe,34
6/6/2016,Argentina,Santa_Fe,2
6/6/2016,Argentina,Sgo_Del_Estero,6
6/6/2016,Argentina,Tucuman,20
6/6/2016,Argentina,Tucuman,5
6/6/2016,Argentina,Tucuman,59
6/6/2016,Argentina,Tucuman,1
6/13/2016,Argentina,Buenos_Aires,2
6/13/2016,Argentina,Buenos_Aires,1
6/13/2016,Argentina,Buenos_Aires,220
6/13/2016,Argentina,Buenos_Aires,23
6/13/2016,Argentina,CABA,9
6/13/2016,Argentina,CABA,125
6/13/2016,Argentina,CABA,2
6/13/2016,Argentina,Catamarca,15
6/13/2016,Argentina,Chaco,65
6/13/2016,Argentina,Chaco,4
6/13/2016,Argentina,Chubut,1
6/13/2016,Argentina,Chubut,5
6/13/2016,Argentina,Cordoba,1
6/13/2016,Argentina,Cordoba,2
6/13/2016,Argentina,Cordoba,41
6/13/2016,Argentina,Cordoba,1
6/13/2016,Argentina,Corrientes,2
6/13/2016,Argentina,Corrientes,19
6/13/2016,Argentina,Entre_Rios,40
6/13/2016,Argentina,Entre_Rios,4
6/13/2016,Argentina,Formosa,9
