Last Update,Country,Province/State,Confirmed
2016-03-19,Argentina,Buenos Aires,2
2016-03-19,Argentina,Buenos Aires,1
2016-03-19,Argentina,Buenos Aires,127
2016-03-19,Argentina,CABA,9
2016-03-19,Argentina,CABA,68
2016-03-19,Argentina,CABA,1
2016-03-19,Argentina,Catamarca,14
2016-03-19,Argentina,Chaco,48
2016-03-19,Argentina,Chubut,1
2016-03-19,Argentina,Chubut,5
2016-03-19,Argentina,Cordoba,1
2016-03-19,Argentina,Cordoba,1
2016-03-19,Argentina,Cordoba,1
2016-03-19,Argentina,Cordoba,22
2016-03-19,Argentina,Corrientes,2
2016-03-19,Argentina,Corrientes,18
2016-03-19,Argentina,Entre Rios,28
2016-03-19,Argentina,Formosa,8
2016-03-19,Argentina,Jujuy,245
2016-03-19,Argentina,La Pampa,2
2016-03-19,Argentina,La Rioja,3
2016-03-19,Argentina,Mendoza,1
2016-03-19,Argentina,Mendoza,12
2016-03-19,Argentina,Misiones,6
2016-03-19,Argentina,Neuquen,16
2016-03-19,Argentina,Rio_Negro,5
2016-03-19,Argentina,Salta,61
2016-03-19,Argentina,Salta,1
2016-03-19,Argentina,San_Luis,9
2016-03-19,Argentina,Santa_Cruz,7
2016-03-19,Argentina,Santa_Fe,15
2016-03-19,Argentina,Sgo_Del_Estero,4
2016-03-19,Argentina,Tucuman,36
2016-03-26,Argentina,Buenos_Aires,2
2016-03-26,Argentina,Buenos_Aires,1
2016-03-26,Argentina,Buenos_Aires,145
2016-03-26,Argentina,CABA,9
2016-03-26,Argentina,CABA,81
2016-03-26,Argentina,CABA,2
2016-03-26,Argentina,Catamarca,15
2016-03-26,Argentina,Chaco,52
2016-03-26,Argentina,Chubut,1
2016-03-26,Argentina,Chubut,5
2016-03-26,Argentina,Cordoba,1
2016-03-26,Argentina,Cordoba,2
2016-03-26,Argentina,Cordoba,22
2016-03-26,Argentina,Corrientes,2
2016-03-26,Argentina,Corrientes,18
2016-03-26,Argentina,Entre_Rios,29
2016-03-26,Argentina,Formosa,8
2016-03-26,Argentina,Jujuy,303
2016-03-26,Argentina,La_Pampa,2
2016-03-26,Argentina,La_Rioja,3
2016-03-26,Argentina,Mendoza,1
2016-03-26,Argentina,Mendoza,12
2016-03-26,Argentina,Misiones,6
2016-03-26,Argentina,Neuquen,16
2016-03-26,Argentina,Rio_Negro,5
2016-03-26,Argentina,Salta,63
2016-03-26,Argentina,Salta,2
2016-03-26,Argentina,San_Luis,9
2016-03-26,Argentina,Santa_Cruz,9
2016-03-26,Argentina,Santa_Fe,16
2016-03-26,Argentina,Sgo_Del_Estero,6
2016-03-26,Argentina,Tucuman,36
2016-04-02,Argentina,Buenos_Aires,2
2016-04-02,Argentina,Buenos_Aires,1
2016-04-02,Argentina,Buenos_Aires,173
2016-04-02,Argentina,Buenos_Aires,14
2016-04-02,Argentina,CABA,9
2016-04-02,Argentina,CABA,83
2016-04-02,Argentina,CABA,2
2016-04-02,Argentina,Catamarca,15
2016-04-02,Argentina,Chaco,54
2016-04-02,Argentina,Chaco,1
2016-04-02,Argentina,Chubut,1
2016-04-02,Argentina,Chubut,5
2016-04-02,Argentina,Cordoba,1
2016-04-02,Argentina,Cordoba,2
2016-04-02,Argentina,Cordoba,23
2016-04-02,Argentina,Corrientes,2
2016-04-02,Argentina,Corrientes,18
2016-04-02,Argentina,Entre_Rios,30
2016-04-02,Argentina,Formosa,9
2016-04-02,Argentina,Jujuy,353
2016-04-02,Argentina,Jujuy,1
2016-04-02,Argentina,La_Pampa,2
2016-04-02,Argentina,La_Rioja,3
2016-04-02,Argentina,Mendoza,1
2016-04-02,Argentina,Mendoza,15
2016-04-02,Argentina,Misiones,6
2016-04-02,Argentina,Neuquen,19
2016-04-02,Argentina,Rio_Negro,6
2016-04-02,Argentina,Salta,68
2016-04-02,Argentina,Salta,2
2016-04-02,Argentina,San_Luis,9
2016-04-02,Argentina,Santa_Cruz,9
2016-04-02,Argentina,Santa_Fe,17
2016-04-02,Argentina,Santa_Fe,2
2016-04-02,Argentina,Sgo_Del_Estero,6
2016-04-02,Argentina,Tucuman,37
2016-04-09,Argentina,Buenos_Aires,2
2016-04-09,Argentina,Buenos_Aires,1
2016-04-09,Argentina,Buenos_Aires,178
2016-04-09,Argentina,Buenos_Aires,18
2016-04-09,Argentina,CABA,9
2016-04-09,Argentina,CABA,86
2016-04-09,Argentina,CABA,2
2016-04-09,Argentina,Catamarca,15
2016-04-09,Argentina,Chaco,57
2016-04-09,Argentina,Chaco,1
2016-04-09,Argentina,Chubut,1
2016-04-09,Argentina,Chubut,5
2016-04-09,Argentina,Cordoba,1
2016-04-09,Argentina,Cordoba,2
2016-04-09,Argentina,Cordoba,26
2016-04-09,Argentina,Corrientes,2
2016-04-09,Argentina,Corrientes,19
2016-04-09,Argentina,Entre_Rios,33
